ABBAYE;abbaye;ABE
JARDIN;jardin;JARD
JARDINS;jardins;JARD
JETEE;jetée;JTE
JETEES;jetées;JTE
KARR HENT;karr hent;KARR HENT
KARR PONT;karr pont;KARR PONT
KARRIKA;karrika;KARRIKA
KARRIKA;karrika;KARRIKA
KARRIKABURU;karrikaburu;KARRIKABURU
KARRONT;karront;KARRONT
KROASHENT TRO;kroashent tro;KROASHENT TRO
KROAZ HENT TRO;kroaz hent tro;KROAZ HENT TRO
KROAZ PONT;kroaz pont;KROAZ PONT
LEVEE;levée;LEVE
LICES;lices;LICES
LIEU-DIT;lieu-dit;LD
LODENN;lodenn;LODENN
LOTISSEMENT;lotissement;LOT
MAIL;mail;MAIL
MAISON FORESTIERE;maison forestière;MF
MANOIR;manoir;MAN
MARCHE;marché;MAR
MARCHES;marchés;MAR
MAS;mas;MAS
METRO;métro;MET
MONTEE;montée;MTE
MONTEES;montées;MTE
MOULIN;moulin;MLN
MOULINS;moulins;MLN
MOUNT;mount;MOUNT
MUSEE;musée;MUS
NOUVELLE ROUTE;nouvelle route;NTE
PALAIS;palais;PAL
PARC;parc;PARC
PARCS;parcs;PARC
PARK;park;PARK
PARKING;parking;PKG
PARVIS;parvis;PRV
PASSAGE;passage;PAS
PASSAGE A NIVEAU;passage à niveau;PN
PASSE;passe;PASS
PASSERELLE;passerelle;PLE
PASSERELLES;passerelles;PLE
PASSES;passes;PASS
PATIO;patio;PAT
PAVILLON;pavillon;PAV
PAVILLONS;pavillons;PAV
PECH;pech;PECH
PERIPHERIQUE;périphérique;PERI
PETIT CHEMIN;petit chemin;PCH
PETIT DEGRE;petit degré;PDEG
PETITE ALLEE;petite allée;PTA
PETITE AVENUE;petite avenue;PAE
PETITE IMPASSE;petite impasse;PIM
PETITE ROUTE;petite route;PRT
PETITE RUE;petite rue;PTR
PETITES ALLEES;petites allées;PTA
PETITS DEGRES;petits degrés;PDEG
PEY;pey;PEY
PLA;pla;PLA
PLACE;place;PL
PLACEN;placen;PLACEN
PLACETA;placeta;PLACETA
PLACETTE;placette;PTTE
PLACIS;placis;PLCI
PLAGE;plage;PLAG
PLAGES;plages;PLAG
PLAINE;plaine;PLN
PLAN;plan;PLAN
PLASEN;plasen;PLASEN
PLASENN;plasenn;PLASENN
PLATEAU;plateau;PLT
PLATEAUX;plateaux;PLT
PLAZA;plaza;PLAZA
POINTE;pointe;PNT
POND;pond;POND
PONT;pont;PONT
PONTS;ponts;PONT
PORCHE;porche;PCH
PORT;port;PORT
PORTE;porte;PTE
